2017-09-26 23:01:30.0598 |  Info | Program | Grand Theft Multiplayer Server v0.1.631.625 
2017-09-26 23:01:30.1095 |  Info | Program |   Interface:         0.0.0.0 
2017-09-26 23:01:30.1155 |  Info | Program |   Port:                 4499 
2017-09-26 23:01:30.1155 |  Info | Program |   Name:      Simple Grand Theft Multiplayer Server 
2017-09-26 23:01:30.1155 |  Info | Program |   FQDN:                      
2017-09-26 23:01:30.1155 |  Info | Program |   Players:                50 
2017-09-26 23:01:30.1331 |  Info | Program |   Announce:            False 
2017-09-26 23:01:30.1331 |  Info | Program | Starting... 
2017-09-26 23:01:30.5189 |  Info | GameServer | Loading resources... 
2017-09-26 23:01:30.5816 |  Info | GameServer | Starting evorp 
2017-09-26 23:01:30.6248 | Error | GameServer | ERROR STARTING RESOURCE evorp System.IO.DirectoryNotFoundException: Ein Teil des Pfades "C:\Users\groot\Desktop\EvoMp_RolePlay_Server\GT-MP Server\resources\evorp\dist\Debugger.Web\Debugger.html" konnte nicht gefunden werden.
   bei System.IO.__Error.WinIOError(Int32 errorCode, String maybeFullPath)
   bei System.IO.FileStream.Init(String path, FileMode mode, FileAccess access, Int32 rights, Boolean useRights, FileShare share, Int32 bufferSize, FileOptions options, SECURITY_ATTRIBUTES secAttrs, String msgPath, Boolean bFromProxy, Boolean useLongPath, Boolean checkHost)
   bei System.IO.FileStream..ctor(String path, FileMode mode, FileAccess access, FileShare share)
   bei GrandTheftMultiplayer.Server.GameServer.StartResource(String resourceName, String father)
2017-09-26 23:01:30.7085 |  Info | Program | Started! Waiting for connections. 
2017-09-26 23:04:02.6256 |  Info | Program | Terminating... 
2017-09-26 23:09:35.9112 |  Info | Program | Grand Theft Multiplayer Server v0.1.631.625 
2017-09-26 23:09:35.9689 |  Info | Program |   Interface:         0.0.0.0 
2017-09-26 23:09:35.9744 |  Info | Program |   Port:                 4499 
2017-09-26 23:09:35.9744 |  Info | Program |   Name:      Simple Grand Theft Multiplayer Server 
2017-09-26 23:09:35.9744 |  Info | Program |   FQDN:                      
2017-09-26 23:09:35.9899 |  Info | Program |   Players:                50 
2017-09-26 23:09:35.9899 |  Info | Program |   Announce:            False 
2017-09-26 23:09:35.9899 |  Info | Program | Starting... 
2017-09-26 23:09:36.3607 |  Info | GameServer | Loading resources... 
2017-09-26 23:09:36.4194 |  Info | GameServer | Starting evorp 
2017-09-26 23:09:36.4585 | Error | GameServer | ERROR STARTING RESOURCE evorp System.IO.DirectoryNotFoundException: Ein Teil des Pfades "C:\Users\groot\Desktop\EvoMp_RolePlay_Server\GT-MP Server\resources\evorp\dist\Debugger.Web\Debugger.html" konnte nicht gefunden werden.
   bei System.IO.__Error.WinIOError(Int32 errorCode, String maybeFullPath)
   bei System.IO.FileStream.Init(String path, FileMode mode, FileAccess access, Int32 rights, Boolean useRights, FileShare share, Int32 bufferSize, FileOptions options, SECURITY_ATTRIBUTES secAttrs, String msgPath, Boolean bFromProxy, Boolean useLongPath, Boolean checkHost)
   bei System.IO.FileStream..ctor(String path, FileMode mode, FileAccess access, FileShare share)
   bei GrandTheftMultiplayer.Server.GameServer.StartResource(String resourceName, String father)
2017-09-26 23:09:36.5423 |  Info | Program | Started! Waiting for connections. 
